ID;date_time;date;time;temp;site;elev_cat
136;2022-09-12 06:00;2022-09-12;06:00:00;4.034;N;H
137;2022-09-12 07:00;2022-09-12;07:00:00;3.917;N;H
138;2022-09-12 08:00;2022-09-12;08:00:00;3.958;N;H
139;2022-09-12 09:00;2022-09-12;09:00:00;4.587;N;H
140;2022-09-12 10:00;2022-09-12;10:00:00;6.086;N;H
141;2022-09-12 11:00;2022-09-12;11:00:00;6.699;N;H
142;2022-09-12 12:00;2022-09-12;12:00:00;8.246;N;H
143;2022-09-12 13:00;2022-09-12;13:00:00;12.963;N;H
144;2022-09-12 14:00;2022-09-12;14:00:00;8.159;N;H
145;2022-09-12 15:00;2022-09-12;15:00:00;6.669;N;H
146;2022-09-12 16:00;2022-09-12;16:00:00;7.667;N;H
147;2022-09-12 17:00;2022-09-12;17:00:00;6.249;N;H
148;2022-09-12 18:00;2022-09-12;18:00:00;5.907;N;H
149;2022-09-12 19:00;2022-09-12;19:00:00;4.537;N;H
150;2022-09-12 20:00;2022-09-12;20:00:00;3.213;N;H
151;2022-09-12 21:00;2022-09-12;21:00:00;3.936;N;H
152;2022-09-12 22:00;2022-09-12;22:00:00;3.991;N;H
153;2022-09-12 23:00;2022-09-12;23:00:00;3.903;N;H
154;2022-09-13 00:00;2022-09-13;00:00:00;4.719;N;H
155;2022-09-13 01:00;2022-09-13;01:00:00;4.885;N;H
156;2022-09-13 02:00;2022-09-13;02:00:00;4.448;N;H
157;2022-09-13 03:00;2022-09-13;03:00:00;4.93;N;H
158;2022-09-13 04:00;2022-09-13;04:00:00;6.091;N;H
159;2022-09-13 05:00;2022-09-13;05:00:00;5.21;N;H
160;2022-09-13 06:00;2022-09-13;06:00:00;4.372;N;H
161;2022-09-13 07:00;2022-09-13;07:00:00;4.127;N;H
162;2022-09-13 08:00;2022-09-13;08:00:00;5.234;N;H
163;2022-09-13 09:00;2022-09-13;09:00:00;6.366;N;H
164;2022-09-13 10:00;2022-09-13;10:00:00;7.283;N;H
165;2022-09-13 11:00;2022-09-13;11:00:00;9.866;N;H
166;2022-09-13 12:00;2022-09-13;12:00:00;11.612;N;H
167;2022-09-06 16:00;2022-09-06;16:00:00;8.103;N;M
168;2022-09-06 17:00;2022-09-06;17:00:00;8.398;N;M
169;2022-09-06 18:00;2022-09-06;18:00:00;6.606;N;M
170;2022-09-06 19:00;2022-09-06;19:00:00;5.733;N;M
171;2022-09-06 20:00;2022-09-06;20:00:00;4.539;N;M
172;2022-09-06 21:00;2022-09-06;21:00:00;4.067;N;M
173;2022-09-06 22:00;2022-09-06;22:00:00;3.877;N;M
174;2022-09-06 23:00;2022-09-06;23:00:00;4.097;N;M
175;2022-09-07 00:00;2022-09-07;00:00:00;4.198;N;M
176;2022-09-07 01:00;2022-09-07;01:00:00;3.595;N;M
177;2022-09-07 02:00;2022-09-07;02:00:00;3.248;N;M
178;2022-09-07 03:00;2022-09-07;03:00:00;3.163;N;M
179;2022-09-07 04:00;2022-09-07;04:00:00;3.221;N;M
180;2022-09-07 05:00;2022-09-07;05:00:00;3.298;N;M
181;2022-09-07 06:00;2022-09-07;06:00:00;3.934;N;M
182;2022-09-07 07:00;2022-09-07;07:00:00;4.824;N;M
183;2022-09-07 08:00;2022-09-07;08:00:00;7.312;N;M
184;2022-09-07 09:00;2022-09-07;09:00:00;7.399;N;M
185;2022-09-07 10:00;2022-09-07;10:00:00;10.454;N;M
186;2022-09-07 11:00;2022-09-07;11:00:00;8.195;N;M
187;2022-09-07 12:00;2022-09-07;12:00:00;8.404;N;M
188;2022-09-07 13:00;2022-09-07;13:00:00;9.627;N;M
189;2022-09-07 14:00;2022-09-07;14:00:00;9.302;N;M
190;2022-09-07 15:00;2022-09-07;15:00:00;9.050;N;M
191;2022-09-07 16:00;2022-09-07;16:00:00;9.377;N;M
192;2022-09-07 17:00;2022-09-07;17:00:00;8.659;N;M
193;2022-09-07 18:00;2022-09-07;18:00:00;7.883;N;M
194;2022-09-07 19:00;2022-09-07;19:00:00;4.972;N;M
195;2022-09-07 20:00;2022-09-07;20:00:00;0.592;N;M
196;2022-09-07 21:00;2022-09-07;21:00:00;1.159;N;M
197;2022-09-07 22:00;2022-09-07;22:00:00;1.166;N;M
198;2022-09-07 23:00;2022-09-07;23:00:00;0.452;N;M
199;2022-09-08 00:00;2022-09-08;00:00:00;0.019;N;M
200;2022-09-08 01:00;2022-09-08;01:00:00;0.237;N;M
201;2022-09-08 02:00;2022-09-08;02:00:00;1.123;N;M
202;2022-09-08 03:00;2022-09-08;03:00:00;1.171;N;M
203;2022-09-08 04:00;2022-09-08;04:00:00;1.442;N;M
204;2022-09-08 05:00;2022-09-08;05:00:00;1.260;N;M
205;2022-09-08 06:00;2022-09-08;06:00:00;-0.436;N;M
206;2022-09-08 07:00;2022-09-08;07:00:00;0.555;N;M
207;2022-09-08 08:00;2022-09-08;08:00:00;11.785;N;M
208;2022-09-08 09:00;2022-09-08;09:00:00;9.959;N;M
209;2022-09-08 10:00;2022-09-08;10:00:00;11.080;N;M
210;2022-09-08 11:00;2022-09-08;11:00:00;11.616;N;M
211;2022-09-08 12:00;2022-09-08;12:00:00;12.437;N;M
212;2022-09-08 13:00;2022-09-08;13:00:00;12.321;N;M
213;2022-09-08 14:00;2022-09-08;14:00:00;12.702;N;M
214;2022-09-08 15:00;2022-09-08;15:00:00;13.431;N;M
215;2022-09-08 16:00;2022-09-08;16:00:00;12.345;N;M
216;2022-09-08 17:00;2022-09-08;17:00:00;12.326;N;M
217;2022-09-08 18:00;2022-09-08;18:00:00;10.986;N;M
218;2022-09-08 19:00;2022-09-08;19:00:00;7.762;N;M
219;2022-09-08 20:00;2022-09-08;20:00:00;3.361;N;M
220;2022-09-08 21:00;2022-09-08;21:00:00;3.849;N;M
221;2022-09-08 22:00;2022-09-08;22:00:00;2.840;N;M
222;2022-09-08 23:00;2022-09-08;23:00:00;2.877;N;M
223;2022-09-09 00:00;2022-09-09;00:00:00;2.923;N;M
224;2022-09-09 01:00;2022-09-09;01:00:00;2.967;N;M
225;2022-09-09 02:00;2022-09-09;02:00:00;1.273;N;M
226;2022-09-09 03:00;2022-09-09;03:00:00;2.600;N;M
227;2022-09-09 04:00;2022-09-09;04:00:00;0.799;N;M
228;2022-09-09 05:00;2022-09-09;05:00:00;1.067;N;M
229;2022-09-09 06:00;2022-09-09;06:00:00;0.479;N;M
230;2022-09-09 07:00;2022-09-09;07:00:00;3.366;N;M
231;2022-09-09 08:00;2022-09-09;08:00:00;11.368;N;M
232;2022-09-09 09:00;2022-09-09;09:00:00;8.909;N;M
233;2022-09-09 10:00;2022-09-09;10:00:00;10.727;N;M
234;2022-09-09 11:00;2022-09-09;11:00:00;7.544;N;M
235;2022-09-09 12:00;2022-09-09;12:00:00;10.288;N;M
236;2022-09-09 13:00;2022-09-09;13:00:00;9.478;N;M
237;2022-09-09 14:00;2022-09-09;14:00:00;8.658;N;M
238;2022-09-09 15:00;2022-09-09;15:00:00;8.323;N;M
239;2022-09-09 16:00;2022-09-09;16:00:00;9.998;N;M
240;2022-09-09 17:00;2022-09-09;17:00:00;7.561;N;M
241;2022-09-09 18:00;2022-09-09;18:00:00;6.709;N;M
242;2022-09-09 19:00;2022-09-09;19:00:00;4.896;N;M
243;2022-09-09 20:00;2022-09-09;20:00:00;3.820;N;M
244;2022-09-09 21:00;2022-09-09;21:00:00;2.890;N;M
245;2022-09-09 22:00;2022-09-09;22:00:00;4.633;N;M
246;2022-09-09 23:00;2022-09-09;23:00:00;4.758;N;M
247;2022-09-10 00:00;2022-09-10;00:00:00;5.176;N;M
248;2022-09-10 01:00;2022-09-10;01:00:00;4.752;N;M
249;2022-09-10 02:00;2022-09-10;02:00:00;4.858;N;M
250;2022-09-10 03:00;2022-09-10;03:00:00;4.908;N;M
251;2022-09-10 04:00;2022-09-10;04:00:00;4.597;N;M
252;2022-09-10 05:00;2022-09-10;05:00:00;4.867;N;M
253;2022-09-10 06:00;2022-09-10;06:00:00;5.038;N;M
254;2022-09-10 07:00;2022-09-10;07:00:00;5.740;N;M
255;2022-09-10 08:00;2022-09-10;08:00:00;6.890;N;M
256;2022-09-10 09:00;2022-09-10;09:00:00;6.491;N;M
257;2022-09-10 10:00;2022-09-10;10:00:00;7.599;N;M
258;2022-09-10 11:00;2022-09-10;11:00:00;7.792;N;M
259;2022-09-10 12:00;2022-09-10;12:00:00;11.248;N;M
260;2022-09-10 13:00;2022-09-10;13:00:00;10.528;N;M
261;2022-09-10 14:00;2022-09-10;14:00:00;13.368;N;M
262;2022-09-10 15:00;2022-09-10;15:00:00;12.029;N;M
263;2022-09-10 16:00;2022-09-10;16:00:00;9.616;N;M
264;2022-09-10 17:00;2022-09-10;17:00:00;8.130;N;M
265;2022-09-10 18:00;2022-09-10;18:00:00;7.241;N;M
266;2022-09-10 19:00;2022-09-10;19:00:00;6.890;N;M
267;2022-09-10 20:00;2022-09-10;20:00:00;5.655;N;M
268;2022-09-10 21:00;2022-09-10;21:00:00;5.446;N;M
269;2022-09-10 22:00;2022-09-10;22:00:00;4.031;N;M
